target
material_name,resistivity,bandgap,structure
CuMnSnO,0.3673,1.17,Cubic
CuMnSnO,0.9564,2.29,Hexagonal
Ge,0.579,3.09,Orthorhombic
CuMnSnO,0.2282,2.5,Monoclinic
CuMnSnO,0.4993,2.72,Cubic
Si,0.1252,1.08,Cubic
GaAs,0.4591,1.96,Cubic
Si,0.4297,1.59,Tetragonal
CuMnSnO,0.7456,1.34,Orthorhombic
CuO,0.9105,2.59,Tetragonal
GaAs,0.4463,2.02,Cubic
CuO,0.9537,1.73,Monoclinic
CuMnSnO,0.989,1.11,Tetragonal
Si,0.958,3.11,Cubic
Si,0.4822,2.83,Orthorhombic
CuMnSnO,0.5141,2.46,Tetragonal
Ge,0.4492,2.46,Cubic
CuMnSnO,0.7465,3.27,Monoclinic
CuO,0.6313,3.22,Cubic
CuO,0.5484,2.22,Monoclinic
CuO,0.5019,3.33,Monoclinic
Ge,0.4132,1.48,Monoclinic
Si,0.9224,2.38,Cubic
Si,0.8166,2.67,Tetragonal
CuMnSnO,0.0944,3.29,Cubic
Ge,0.0795,3.29,Monoclinic
CuO,0.8152,1.66,Cubic
ZnO,0.069,2.7,Monoclinic
CuO,0.5475,3.13,Tetragonal
GaAs,0.1896,1.26,Hexagonal
Si,0.5141,1.18,Monoclinic
Si,0.5568,1.53,Cubic
CuMnSnO,0.6618,2.17,Monoclinic
Si,0.0171,3.24,Cubic
Ge,0.0814,2.33,Cubic
ZnO,0.8391,1.58,Cubic
CuMnSnO,0.8822,1.49,Monoclinic
GaAs,0.14,3.16,Cubic
Si,0.7828,2.74,Cubic
CuO,0.0553,1.27,Monoclinic
Ge,0.0407,1.23,Orthorhombic
Si,0.7081,3.02,Tetragonal
GaAs,0.8115,1.09,Cubic
ZnO,0.1318,2.15,Hexagonal
Ge,0.2182,1.44,Hexagonal
Ge,0.6963,2.19,Hexagonal
Si,0.2963,1.88,Tetragonal
GaAs,0.3025,1.4,Orthorhombic
GaAs,0.369,2.93,Monoclinic
CuO,0.4485,2.92,Orthorhombic
CuMnSnO,0.1033,1.92,Cubic
CuMnSnO,0.5564,1.19,Monoclinic
ZnO,0.7336,3.11,Hexagonal
GaAs,0.3252,2.49,Orthorhombic
GaAs,0.0911,2.04,Tetragonal
GaAs,0.4803,2.13,Tetragonal
Ge,0.1147,3.41,Monoclinic
Si,0.8635,1.23,Cubic
Si,0.8144,3.03,Cubic
CuMnSnO,0.1582,1.95,Monoclinic
Si,0.1958,2.71,Cubic
CuMnSnO,0.0776,2.0,Monoclinic
CuMnSnO,0.9931,2.21,Cubic
ZnO,0.0916,1.46,Hexagonal
ZnO,0.1883,1.94,Tetragonal
ZnO,0.4665,1.44,Hexagonal
CuMnSnO,0.8399,2.83,Orthorhombic
Ge,0.7284,3.33,Monoclinic
ZnO,0.6855,2.93,Monoclinic
Si,0.4792,1.05,Hexagonal
Ge,0.3637,1.92,Cubic
GaAs,0.1205,3.45,Hexagonal
GaAs,0.7495,3.23,Tetragonal
CuMnSnO,0.6472,2.44,Tetragonal
GaAs,0.3047,3.17,Cubic
ZnO,0.6132,3.16,Orthorhombic
GaAs,0.6852,1.14,Tetragonal
Ge,0.5166,3.11,Hexagonal
CuO,0.7204,2.71,Orthorhombic
CuO,0.572,1.02,Hexagonal
ZnO,0.7539,2.02,Tetragonal
CuO,0.7631,2.91,Tetragonal
Ge,0.1574,2.46,Monoclinic
Si,0.14,1.94,Tetragonal
ZnO,0.4599,2.15,Cubic
Ge,0.8196,3.41,Orthorhombic
ZnO,0.7721,3.44,Hexagonal
Si,0.8715,1.27,Hexagonal
ZnO,0.2124,3.24,Hexagonal
CuMnSnO,0.3133,3.02,Hexagonal
Si,0.6354,1.14,Tetragonal
CuO,0.9596,1.51,Monoclinic
GaAs,0.4014,2.13,Orthorhombic
Si,0.8178,3.19,Monoclinic
ZnO,0.1464,1.79,Orthorhombic
Si,0.5999,1.63,Hexagonal
Si,0.0767,2.07,Tetragonal
CuMnSnO,0.6914,1.84,Monoclinic
ZnO,0.7733,1.31,Tetragonal
GaAs,0.091,3.0,Hexagonal
ZnO,0.8741,2.27,Hexagonal
Si,0.5396,1.48,Hexagonal
CuMnSnO,0.3559,1.77,Tetragonal
Si,0.5422,1.59,Hexagonal
CuO,0.2986,1.46,Tetragonal
Si,0.8508,2.21,Hexagonal
GaAs,0.7256,1.87,Hexagonal
Ge,0.2377,2.35,Tetragonal
CuO,0.9472,1.68,Monoclinic
ZnO,0.725,2.22,Cubic
GaAs,0.1736,1.77,Orthorhombic
Si,0.1039,1.76,Hexagonal
CuMnSnO,0.8673,1.82,Orthorhombic
CuMnSnO,0.1258,2.49,Monoclinic
CuMnSnO,0.9698,1.66,Monoclinic
CuMnSnO,0.191,3.26,Hexagonal
Ge,0.7238,2.7,Hexagonal
Ge,0.346,3.16,Tetragonal
GaAs,0.6683,2.31,Tetragonal
CuMnSnO,0.9666,2.73,Tetragonal
Si,0.3981,1.1,Tetragonal
GaAs,0.7812,2.48,Monoclinic
CuMnSnO,0.9697,1.29,Hexagonal
Ge,0.1725,3.02,Hexagonal
Ge,0.3491,2.24,Monoclinic
Ge,0.5844,1.76,Orthorhombic
CuMnSnO,0.0913,3.02,Tetragonal
GaAs,0.9392,3.12,Monoclinic
Si,0.8592,1.39,Tetragonal
GaAs,0.7835,1.8,Monoclinic
CuMnSnO,0.0406,2.33,Orthorhombic
Ge,0.4156,2.85,Tetragonal
CuO,0.1456,2.22,Cubic
GaAs,0.8624,1.26,Orthorhombic
ZnO,0.7045,2.64,Cubic
GaAs,0.7957,1.38,Orthorhombic
ZnO,0.7073,1.18,Cubic
CuO,0.062,2.81,Monoclinic
Ge,0.1123,1.53,Cubic
GaAs,0.6412,2.27,Tetragonal
ZnO,0.9671,1.89,Orthorhombic
ZnO,0.8536,2.65,Hexagonal
ZnO,0.8314,3.01,Cubic
CuO,0.6355,2.06,Hexagonal
GaAs,0.8509,2.75,Orthorhombic
GaAs,0.9804,2.67,Monoclinic
CuO,0.853,2.39,Monoclinic
Si,0.5778,3.47,Hexagonal
Si,0.7414,3.22,Orthorhombic
ZnO,0.2646,2.67,Cubic
Si,0.7711,3.04,Hexagonal
CuO,0.2029,2.76,Monoclinic
Si,0.1972,3.1,Orthorhombic
CuMnSnO,0.0353,1.98,Monoclinic
CuO,0.096,1.06,Monoclinic
ZnO,0.3553,1.82,Hexagonal
CuMnSnO,0.3469,3.06,Hexagonal
CuMnSnO,0.1093,2.65,Tetragonal
ZnO,0.748,1.55,Cubic
CuO,0.1597,2.9,Cubic
CuMnSnO,0.1379,2.1,Cubic
ZnO,0.7039,1.62,Hexagonal
Si,0.3402,1.08,Hexagonal
Ge,0.5849,1.71,Hexagonal
CuO,0.2897,2.38,Hexagonal
ZnO,0.3353,1.2,Tetragonal
Ge,0.577,1.34,Hexagonal
GaAs,0.6587,1.69,Monoclinic
CuMnSnO,0.0721,2.82,Orthorhombic
Si,0.8755,2.22,Orthorhombic
GaAs,0.1807,2.46,Tetragonal
GaAs,0.8508,3.45,Tetragonal
CuMnSnO,0.6203,2.22,Cubic
Si,0.863,2.71,Tetragonal
CuO,0.1498,1.38,Monoclinic
Ge,0.1016,2.02,Tetragonal
ZnO,0.1566,1.69,Hexagonal
GaAs,0.0404,3.14,Cubic
ZnO,0.707,1.13,Hexagonal
Si,0.2087,3.5,Orthorhombic
CuMnSnO,0.4077,2.6,Cubic
CuMnSnO,0.3834,1.77,Cubic
Ge,0.2394,2.51,Monoclinic
GaAs,0.3055,1.75,Tetragonal
CuMnSnO,0.6421,1.01,Cubic
Si,0.9374,2.31,Monoclinic
Si,0.184,1.7,Hexagonal
ZnO,0.6479,1.06,Hexagonal
Ge,0.8717,2.84,Monoclinic
CuMnSnO,0.2537,1.39,Orthorhombic
Ge,0.5721,1.96,Tetragonal
Si,0.7448,1.98,Monoclinic
CuO,0.9694,3.28,Hexagonal
Si,0.884,3.44,Hexagonal
GaAs,0.7791,2.69,Cubic
GaAs,0.1933,2.55,Orthorhombic
Si,0.6826,3.09,Monoclinic
Ge,0.4835,2.69,Cubic
GaAs,0.6241,1.55,Cubic
CuO,0.6696,2.13,Orthorhombic
CuMnSnO,0.7788,2.34,Orthorhombic
GaAs,0.5545,2.61,Monoclinic
CuO,0.0417,2.66,Monoclinic
Ge,0.7324,2.61,Hexagonal
CuMnSnO,0.3291,2.9,Hexagonal
Ge,0.9333,2.8,Cubic
CuO,0.5674,2.98,Orthorhombic
Ge,0.622,2.02,Tetragonal
GaAs,0.7717,3.25,Monoclinic
ZnO,0.6342,2.82,Tetragonal
Ge,0.6878,2.15,Hexagonal
GaAs,0.1449,2.15,Monoclinic
ZnO,0.3324,3.48,Monoclinic
Si,0.3859,3.32,Monoclinic
CuO,0.5426,1.58,Cubic
Si,0.43,3.04,Cubic
Si,0.0712,2.46,Orthorhombic
CuMnSnO,0.7914,2.87,Monoclinic
Si,0.9323,2.61,Hexagonal
Ge,0.6022,2.58,Cubic
GaAs,0.5275,2.54,Orthorhombic
Ge,0.5105,3.15,Orthorhombic
CuMnSnO,0.2884,1.18,Orthorhombic
GaAs,0.2292,3.35,Cubic
Ge,0.7996,2.14,Hexagonal
ZnO,0.2447,2.41,Tetragonal
Ge,0.9138,2.24,Cubic
GaAs,0.9667,1.94,Cubic
Ge,0.6148,1.44,Cubic
Ge,0.7992,1.85,Cubic
ZnO,0.2687,1.72,Hexagonal
CuO,0.8501,1.74,Cubic
Ge,0.8938,1.82,Orthorhombic
ZnO,0.8649,2.94,Monoclinic
Si,0.0848,1.83,Orthorhombic
CuMnSnO,0.3363,2.61,Cubic
GaAs,0.7048,1.41,Monoclinic
ZnO,0.2204,2.75,Tetragonal
Si,0.8455,2.49,Tetragonal
Si,0.0292,2.35,Monoclinic
Ge,0.6305,1.59,Cubic
CuO,0.545,1.73,Hexagonal
Si,0.0654,3.2,Hexagonal
CuO,0.5443,2.6,Orthorhombic
CuO,0.229,2.06,Tetragonal
CuMnSnO,0.6783,1.64,Cubic
ZnO,0.5322,1.72,Orthorhombic
Ge,0.2511,2.68,Monoclinic
GaAs,0.2213,3.12,Hexagonal
Si,0.7001,1.38,Monoclinic
Si,0.3959,2.04,Hexagonal
Si,0.5887,2.79,Tetragonal
GaAs,0.1868,3.13,Tetragonal
Si,0.9153,1.65,Cubic
CuO,0.7951,3.44,Tetragonal
Ge,0.3545,2.29,Monoclinic
CuO,0.3557,1.48,Orthorhombic
CuMnSnO,0.6008,1.05,Monoclinic
Si,0.392,1.15,Monoclinic
CuMnSnO,0.596,1.74,Monoclinic
CuMnSnO,0.318,1.63,Cubic
ZnO,0.8646,1.87,Monoclinic
CuO,0.8244,2.88,Tetragonal
ZnO,0.1473,2.86,Cubic
GaAs,0.1212,1.51,Tetragonal
CuO,0.8794,2.32,Monoclinic
Ge,0.6067,1.02,Orthorhombic
CuO,0.1395,2.06,Monoclinic
CuO,0.8171,1.72,Hexagonal
Si,0.9196,2.56,Orthorhombic
ZnO,0.1076,1.66,Hexagonal
Si,0.6968,1.13,Hexagonal
Si,0.0531,3.23,Cubic
GaAs,0.1888,1.4,Monoclinic
CuMnSnO,0.5208,2.55,Cubic
Ge,0.7155,1.66,Tetragonal
GaAs,0.8798,1.58,Tetragonal
Si,0.0776,1.83,Tetragonal
GaAs,0.5233,2.3,Monoclinic
ZnO,0.899,1.67,Cubic
CuO,0.4779,2.66,Monoclinic
Si,0.3846,3.42,Cubic
Ge,0.4297,2.67,Orthorhombic
CuO,0.3035,3.3,Orthorhombic
Ge,0.015,1.59,Tetragonal
Si,0.2651,1.14,Cubic
GaAs,0.513,2.77,Hexagonal
ZnO,0.9709,2.96,Orthorhombic
CuMnSnO,0.0778,1.11,Tetragonal
CuO,0.6091,2.1,Tetragonal
Si,0.7658,2.67,Monoclinic
CuMnSnO,0.9358,1.97,Hexagonal
Ge,0.0519,2.72,Hexagonal
GaAs,0.8458,2.13,Monoclinic
CuO,0.062,2.64,Cubic
CuMnSnO,0.2125,1.61,Cubic
Si,0.8734,2.16,Monoclinic
Si,0.0136,1.41,Orthorhombic
ZnO,0.0538,2.69,Monoclinic
CuO,0.4453,2.53,Hexagonal
CuO,0.5306,1.94,Orthorhombic
Ge,0.9794,1.92,Tetragonal
ZnO,0.52,1.17,Hexagonal
CuMnSnO,0.6611,1.79,Monoclinic
Si,0.955,2.8,Orthorhombic
Ge,0.5675,3.06,Monoclinic
ZnO,0.1502,2.95,Orthorhombic
CuMnSnO,0.0102,2.47,Monoclinic
CuO,0.149,2.21,Hexagonal
Ge,0.5583,1.23,Monoclinic
GaAs,0.4735,1.49,Orthorhombic
CuO,0.2339,1.45,Hexagonal
GaAs,0.4728,3.08,Cubic
GaAs,0.9943,3.04,Cubic
Si,0.9223,1.91,Hexagonal
Ge,0.8826,1.56,Hexagonal
Si,0.6567,1.23,Hexagonal
CuMnSnO,0.0153,2.0,Cubic
CuO,0.0794,2.01,Cubic
GaAs,0.1372,1.12,Hexagonal
GaAs,0.4432,2.82,Orthorhombic
GaAs,0.3196,1.61,Tetragonal
CuMnSnO,0.2979,2.43,Hexagonal
CuO,0.455,3.21,Monoclinic
ZnO,0.5392,2.09,Cubic
CuMnSnO,0.2261,1.55,Orthorhombic
Ge,0.5823,3.12,Monoclinic
Ge,0.0404,3.35,Hexagonal
Si,0.4027,3.24,Monoclinic
Si,0.7226,2.4,Tetragonal
GaAs,0.6013,3.44,Cubic
GaAs,0.7051,3.22,Tetragonal
CuO,0.352,3.15,Monoclinic
ZnO,0.565,2.34,Orthorhombic
Si,0.9483,1.61,Orthorhombic
Si,0.9494,3.42,Monoclinic
Si,0.5411,2.93,Orthorhombic
Ge,0.6335,1.92,Hexagonal
GaAs,0.7341,2.7,Hexagonal
CuO,0.3438,3.04,Orthorhombic
Si,0.436,2.85,Hexagonal
GaAs,0.6833,1.82,Orthorhombic
CuO,0.8162,2.31,Monoclinic
Si,0.3159,1.25,Orthorhombic
CuMnSnO,0.9821,1.26,Tetragonal
CuO,0.4349,2.07,Monoclinic
Si,0.5378,1.68,Monoclinic
GaAs,0.991,1.02,Hexagonal
ZnO,0.2246,2.57,Orthorhombic
CuMnSnO,0.3305,1.24,Cubic
ZnO,0.4922,3.25,Tetragonal
GaAs,0.6662,3.25,Monoclinic
GaAs,0.8832,1.76,Tetragonal
Si,0.2424,3.28,Cubic
CuO,0.5784,2.67,Orthorhombic
Si,0.8111,1.58,Hexagonal
GaAs,0.4312,1.97,Hexagonal
CuO,0.2088,1.16,Hexagonal
Ge,0.1999,1.3,Hexagonal
GaAs,0.808,2.08,Tetragonal
CuO,0.8213,3.39,Monoclinic
Si,0.1563,3.25,Orthorhombic
ZnO,0.7544,1.73,Orthorhombic
Ge,0.7366,2.3,Hexagonal
Si,0.529,1.97,Monoclinic
CuO,0.4731,3.26,Cubic
CuO,0.3266,2.76,Hexagonal
ZnO,0.9082,2.85,Hexagonal
Ge,0.0357,2.92,Hexagonal
ZnO,0.6953,1.94,Cubic
CuO,0.5347,1.47,Hexagonal
CuMnSnO,0.8542,2.88,Hexagonal
Ge,0.9298,1.94,Tetragonal
Ge,0.8985,2.52,Tetragonal
CuMnSnO,0.3538,1.72,Cubic
Ge,0.466,2.37,Monoclinic
GaAs,0.1179,1.28,Monoclinic
Si,0.6169,1.28,Tetragonal
GaAs,0.3076,3.15,Cubic
CuO,0.7616,1.01,Monoclinic
CuMnSnO,0.9834,1.62,Hexagonal
Si,0.0979,3.06,Cubic
CuO,0.7548,3.15,Orthorhombic
Ge,0.2726,1.76,Cubic
CuMnSnO,0.9568,1.34,Tetragonal
GaAs,0.3617,2.18,Tetragonal
CuO,0.4821,1.46,Tetragonal
ZnO,0.3784,3.25,Cubic
GaAs,0.7103,1.79,Orthorhombic
Ge,0.5345,1.82,Orthorhombic
Ge,0.9853,2.09,Hexagonal
Si,0.9917,3.16,Cubic
ZnO,0.4207,2.11,Orthorhombic
CuO,0.5247,1.65,Orthorhombic
CuMnSnO,0.6813,3.38,Cubic
GaAs,0.1539,1.21,Orthorhombic
Ge,0.7898,1.36,Tetragonal
Ge,0.8803,3.26,Cubic
Si,0.6871,2.25,Monoclinic
Si,0.7297,1.53,Tetragonal
GaAs,0.8498,2.3,Hexagonal
Ge,0.2157,3.23,Tetragonal
Ge,0.2621,1.28,Orthorhombic
Si,0.0182,1.28,Monoclinic
CuMnSnO,0.9104,1.39,Monoclinic
GaAs,0.7126,3.37,Cubic
CuMnSnO,0.4516,1.03,Orthorhombic
ZnO,0.852,1.15,Hexagonal
Ge,0.6904,1.41,Orthorhombic
CuO,0.1834,3.25,Monoclinic
ZnO,0.2338,2.22,Cubic
Ge,0.2182,1.9,Orthorhombic
Ge,0.6501,2.3,Tetragonal
GaAs,0.2194,2.03,Hexagonal
GaAs,0.5739,3.12,Tetragonal
CuO,0.1685,2.58,Tetragonal
ZnO,0.6848,1.12,Monoclinic
ZnO,0.4835,2.85,Orthorhombic
ZnO,0.6601,3.44,Hexagonal
ZnO,0.8347,1.66,Tetragonal
CuMnSnO,0.6152,1.52,Hexagonal
GaAs,0.0612,3.09,Orthorhombic
CuMnSnO,0.6361,1.91,Cubic
CuO,0.2044,2.34,Hexagonal
Ge,0.3686,2.26,Tetragonal
ZnO,0.1294,1.41,Tetragonal
CuO,0.1329,1.7,Cubic
GaAs,0.8695,2.37,Cubic
ZnO,0.0133,3.12,Tetragonal
CuMnSnO,0.0748,1.7,Orthorhombic
GaAs,0.3635,1.98,Monoclinic
GaAs,0.9422,1.15,Orthorhombic
GaAs,0.3662,2.17,Tetragonal
GaAs,0.8016,1.37,Monoclinic
Ge,0.5484,1.3,Hexagonal
Ge,0.6396,1.6,Cubic
Ge,0.4256,1.47,Orthorhombic
Si,0.6419,3.24,Hexagonal
ZnO,0.6834,3.06,Tetragonal
CuO,0.898,1.78,Monoclinic
ZnO,0.5654,2.35,Hexagonal
Ge,0.3094,1.74,Hexagonal
Si,0.0453,1.85,Monoclinic
Si,0.4914,3.13,Monoclinic
CuO,0.9142,2.02,Monoclinic
Ge,0.0326,3.25,Tetragonal
CuMnSnO,0.5798,1.72,Hexagonal
GaAs,0.4435,1.06,Hexagonal
Ge,0.8625,1.63,Monoclinic
GaAs,0.2564,2.93,Orthorhombic
Si,0.3844,1.9,Cubic
Ge,0.6762,2.53,Tetragonal
CuMnSnO,0.1375,2.48,Cubic
GaAs,0.2795,3.16,Monoclinic
Si,0.7854,2.96,Cubic
CuO,0.4104,2.51,Orthorhombic
Ge,0.1346,2.25,Tetragonal
CuMnSnO,0.7896,1.32,Cubic
ZnO,0.8545,3.0,Cubic
Si,0.6418,1.76,Cubic
CuO,0.6217,2.29,Orthorhombic
CuO,0.7274,2.11,Orthorhombic
Ge,0.8748,3.39,Cubic
Si,0.774,1.07,Cubic
ZnO,0.0491,2.53,Monoclinic
CuO,0.6783,2.6,Monoclinic
CuO,0.3019,2.99,Hexagonal
CuO,0.4414,2.67,Orthorhombic
ZnO,0.8846,1.48,Monoclinic
GaAs,0.1624,3.3,Monoclinic
CuO,0.6053,3.35,Monoclinic
Ge,0.2153,3.38,Orthorhombic
CuMnSnO,0.9632,2.24,Hexagonal
Ge,0.1423,2.76,Monoclinic
CuO,0.8478,2.03,Hexagonal
Si,0.7269,3.31,Hexagonal
Si,0.812,3.3,Monoclinic
Ge,0.0161,1.84,Tetragonal
Si,0.6013,2.67,Cubic
GaAs,0.6219,1.07,Hexagonal
GaAs,0.827,2.61,Monoclinic
GaAs,0.1589,3.05,Orthorhombic
CuMnSnO,0.5229,3.04,Hexagonal
GaAs,0.2871,2.57,Hexagonal
ZnO,0.0824,1.62,Orthorhombic
CuO,0.3906,2.52,Orthorhombic
CuMnSnO,0.5881,2.63,Hexagonal
CuO,0.4244,1.43,Monoclinic
GaAs,0.4937,2.71,Tetragonal
Si,0.6445,2.41,Hexagonal
Ge,0.9281,1.84,Hexagonal
CuMnSnO,0.4056,3.45,Hexagonal
GaAs,0.7783,1.27,Cubic
CuMnSnO,0.5288,1.2,Cubic
CuMnSnO,0.2795,1.98,Tetragonal
Ge,0.8796,1.47,Cubic
CuO,0.3887,3.26,Monoclinic
Si,0.7094,1.92,Cubic
Si,0.8109,1.37,Cubic
Si,0.942,3.49,Cubic
CuMnSnO,0.8892,2.99,Tetragonal
GaAs,0.2143,2.78,Hexagonal
Si,0.992,3.49,Monoclinic
Si,0.7739,2.15,Tetragonal
Si,0.2587,1.93,Hexagonal
CuMnSnO,0.4376,2.97,Cubic
CuMnSnO,0.024,1.76,Cubic
CuMnSnO,0.2694,1.6,Monoclinic
CuMnSnO,0.2719,1.36,Cubic
CuO,0.5002,2.33,Monoclinic
CuMnSnO,0.0396,1.21,Monoclinic
CuO,0.2579,3.3,Tetragonal
CuMnSnO,0.8162,1.59,Monoclinic
Ge,0.3962,2.13,Cubic
Si,0.3002,2.97,Tetragonal
Ge,0.2404,3.39,Hexagonal
CuMnSnO,0.2429,3.19,Hexagonal
CuO,0.0191,3.21,Monoclinic
Si,0.0864,2.08,Monoclinic
Ge,0.501,1.73,Hexagonal
CuMnSnO,0.5151,2.95,Monoclinic
Ge,0.9281,2.16,Tetragonal
Ge,0.95,1.38,Orthorhombic
CuMnSnO,0.6588,3.45,Tetragonal
Si,0.4124,2.03,Hexagonal
Si,0.1799,3.17,Hexagonal
CuO,0.0433,3.28,Cubic
CuMnSnO,0.8092,1.23,Tetragonal
CuMnSnO,0.6004,1.43,Tetragonal
GaAs,0.2993,1.15,Hexagonal
CuO,0.9775,1.66,Monoclinic
